region	bytes_sent
AWS/us-east-1	13740113673102
US/Pennsylvania	12807771091
DE/Baden-Wurttemberg	318258372
US/Virginia	311558637
US/Vermont	3972927523
US/Maryland	2094104576
GCP/us-central1	374512
VPN	882725328
bogon	150932284
US/New York	168121804
US/Massachusetts	152057822
GitHub	181485436
US/North Carolina	804098552
