region	bytes_sent
AWS/us-east-1	3260472383072
US/Vermont	15089510027
US/Maryland	18499667422
US/Illinois	13627762644
GCP/us-central1	262006280
VPN	5662720
GitHub	8952258654
US/Ohio	3996054644
US/North Carolina	592841500
SE/Stockholm	48475920
CA/Quebec	20786204
US/New York	66749892
bogon	4127004
US/Virginia	8843580
DE/Baden-Wurttemberg	53360162
