region	bytes_sent
AWS/us-east-1	1439433290253
US/California	150647323379
GitHub	14806
IT/Piedmont	527348352
IT/Lombardy	237216442
US/Pennsylvania	4875390877
US/Illinois	169183814
US/Maryland	6357126247
US/Texas	18293338
US/Massachusetts	22476412
US/Connecticut	18293338
US/Vermont	35514267763
HU/Budapest	2364345
US/New York	412276572
